,,,,
Karoi,Ward 07,1675,1615,3290
Karoi,Ward 08,2287,2284,4571
Karoi,Ward 09,3006,3680,6686
Karoi,Ward 10,4941,5869,10810
Karoi,Total,17365,20199,37564
Matabeleland North,Total,400188,427438,827626
Binga,Ward 01,2049,2234,4283
Binga,Ward 02,2725,3532,6257
Binga,Ward 03,2036,2892,4928
Binga,Ward 04,1645,2157,3802
Binga,Ward 05,2297,2921,5218
Binga,Ward 06,2671,3494,6165
Binga,Ward 07,2730,3495,6225
Binga,Ward 08,2287,2841,5128
Binga,Ward 09,2445,3389,5834
Binga,Ward 10,1835,2631,4466
Binga,Ward 11,1631,2072,3703
Binga,Ward 12,1409,1841,3250
Binga,Ward 13,2154,2573,4727
Binga,Ward 14,4503,5285,9788
Binga,Ward 15,1717,2257,3974
Binga,Ward 16,4380,5140,9520
Binga,Ward 17,5865,6857,12722
Binga,Ward 18,2566,2950,5516
Binga,Ward 19,2752,3227,5979
Binga,Ward 20,2313,2850,5163
Binga,Ward 21,10315,11599,21914
Binga,Ward 22,1552,1822,3374
Binga,Ward 23,3389,4144,7533
Binga,Ward 24,3349,3218,6567
Binga,Ward 25,1778,2168,3946
Binga,Total,72393,87589,159982
Bubi,Ward 01,2276,1724,4000
Bubi,Ward 02,1576,1644,3220
Bubi,Ward 03,1729,1911,3640
Bubi,Ward 04,1708,1837,3545
Bubi,Ward 05,794,824,1618
Bubi,Ward 06,80,63,143
Bubi,Ward 07,1479,1549,3028
Bubi,Ward 08,1018,865,1883
Bubi,Ward 09,819,619,1438
Bubi,Ward 10,1409,1022,2431
Bubi,Ward 11,3789,3808,7597
Bubi,Ward 12,2149,1669,3818
Bubi,Ward 13,1805,1525,3330
Bubi,Ward 14,974,780,1754
Bubi,Ward 15,1390,1369,2759
Bubi,Ward 16,1024,1029,2053
Bubi,Ward 17,1291,1407,2698
Bubi,Ward 18,1112,1212,2324
Bubi,Ward 19,1453,1323,2776
Bubi,Ward 20,2408,2247,4655
Bubi,Ward 21,3410,3061,6471
Bubi,Ward 22,2223,1476,3699
Bubi,Ward 23,3147,2057,5204
Bubi,Total,39063,35021,74084
Hwange Rural,Ward 01,2529,2487,5016
Hwange Rural,Ward 02,3141,3039,6180
Hwange Rural,Ward 03,1786,1883,3669
Hwange Rural,Ward 04,1665,1888,3553
Hwange Rural,Ward 05,1219,1431,2650
Hwange Rural,Ward 06,1289,1428,2717
Hwange Rural,Ward 07,1628,1748,3376
Hwange Rural,Ward 08,900,1044,1944
Hwange Rural,Ward 09,1021,1033,2054
Hwange Rural,Ward 10,2111,2378,4489
Hwange Rural,Ward 11,1767,1980,3747
Hwange Rural,Ward 12,1325,1464,2789
Hwange Rural,Ward 13,356,397,753
Hwange Rural,Ward 14,1595,1874,3469
Hwange Rural,Ward 15,2299,2698,4997
Hwange Rural,Ward 16,1576,1805,3381
Hwange Rural,Ward 17,1886,1761,3647
Hwange Rural,Ward 18,1772,1828,3600
Hwange Rural,Ward 19,666,413,1079
Hwange Rural,Ward 20,3165,3082,6247
Hwange Rural,Total,33696,35661,69357
Lupane,Ward 01,1242,1229,2471
Lupane,Ward 02,823,895,1718
Lupane,Ward 03,2212,2582,4794
Lupane,Ward 04,1181,1327,2508
Lupane,Ward 05,2289,2446,4735
Lupane,Ward 06,1494,1674,3168
Lupane,Ward 07,1042,1175,2217
Lupane,Ward 08,1887,2059,3946
Lupane,Ward 09,1493,1704,3197
Lupane,Ward 10,2532,2912,5444
Lupane,Ward 11,2522,2796,5318
Lupane,Ward 12,2050,2142,4192
Lupane,Ward 13,2264,2411,4675
Lupane,Ward 14,1617,1877,3494
Lupane,Ward 15,3778,4446,8224
Lupane,Ward 16,2112,2392,4504
Lupane,Ward 17,2096,2204,4300
Lupane,Ward 18,1529,1650,3179
Lupane,Ward 19,2304,2499,4803
Lupane,Ward 20,1927,2131,4058
Lupane,Ward 21,2607,2868,5475
Lupane,Ward 22,668,621,1289
Lupane,Ward 23,2322,2609,4931
Lupane,Ward 24,844,824,1668
Lupane,Ward 25,479,482,961
Lupane,Ward 26,484,479,963
Lupane,Ward 27,1683,1844,3527
Lupane,Ward 28,3647,3839,7486
Lupane,Total,51128,56117,107245
Nkayi,Ward 01,2377,2660,5037
Nkayi,Ward 02,1996,2191,4187
Nkayi,Ward 03,1711,1833,3544
Nkayi,Ward 04,1540,1595,3135
Nkayi,Ward 05,3067,3371,6438
Nkayi,Ward 06,2313,2532,4845
Nkayi,Ward 07,1755,1921,3676
Nkayi,Ward 08,1763,1814,3577
Nkayi,Ward 09,1621,1794,3415
Nkayi,Ward 10,1509,1678,3187
Nkayi,Ward 11,1185,1272,2457
Nkayi,Ward 12,2164,2302,4466
Nkayi,Ward 13,2020,2227,4247
Nkayi,Ward 14,1790,1945,3735
Nkayi,Ward 15,1013,1096,2109
Nkayi,Ward 16,1848,1826,3674
Nkayi,Ward 17,1391,1577,2968
Nkayi,Ward 18,1308,1431,2739
Nkayi,Ward 19,1742,1891,3633
Nkayi,Ward 20,1650,1784,3434
Nkayi,Ward 21,1913,2007,3920
Nkayi,Ward 22,2638,2846,5484
Nkayi,Ward 23,1485,1622,3107
Nkayi,Ward 24,2220,2418,4638
Nkayi,Ward 25,1794,1949,3743
Nkayi,Ward 26,1349,1433,2782
Nkayi,Ward 27,1739,1806,3545
Nkayi,Ward 28,975,949,1924
Nkayi,Ward 29,2940,3260,6200
Nkayi,Ward 30,1325,1300,2625
Nkayi,Total,54141,58330,112471
Tsholotsho,Ward 01,1688,1814,3502
Tsholotsho,Ward 02,2310,2646,4956
Tsholotsho,Ward 03,2422,2728,5150
Tsholotsho,Ward 04,1252,1376,2628
Tsholotsho,Ward 05,2267,2504,4771
Tsholotsho,Ward 06,3751,4253,8004
Tsholotsho,Ward 07,1968,2105,4073
Tsholotsho,Ward 08,4297,5047,9344
Tsholotsho,Ward 09,3103,3457,6560
Tsholotsho,Ward 10,1848,2220,4068
Tsholotsho,Ward 11,1932,2200,4132
Tsholotsho,Ward 12,3601,4057,7658
Tsholotsho,Ward 13,2543,2897,5440
Tsholotsho,Ward 14,1697,2038,3735
Tsholotsho,Ward 15,3964,4687,8651
Tsholotsho,Ward 16,2408,2954,5362
Tsholotsho,Ward 17,1825,2249,4074
Tsholotsho,Ward 18,1982,2317,4299
Tsholotsho,Ward 19,2582,2998,5580
Tsholotsho,Ward 20,941,889,1830
Tsholotsho,Ward 21,998,1184,2182
Tsholotsho,Ward 22,4467,5316,9783
Tsholotsho,Total,53846,61936,115782
Umguza,Ward 01,3255,2922,6177
Umguza,Ward 02,6363,6158,12521
Umguza,Ward 03,2331,2215,4546
Umguza,Ward 04,1535,1505,3040
Umguza,Ward 05,2832,2607,5439
Umguza,Ward 06,1833,1845,3678
Umguza,Ward 07,3940,3627,7567
Umguza,Ward 08,3014,2490,5504
Umguza,Ward 09,3050,2735,5785
Umguza,Ward 10,1486,1403,2889
Umguza,Ward 11,3123,3131,6254
Umguza,Ward 12,1416,1452,2868
Umguza,Ward 13,1703,1692,3395
Umguza,Ward 14,2604,2402,5006
Umguza,Ward 15,946,972,1918
Umguza,Ward 16,15250,12847,28097
Umguza,Ward 17,419,332,751
Umguza,Ward 18,1375,1513,2888
Umguza,Ward 19,2669,2273,4942
Umguza,Total,59144,54121,113265
Hwange Urban,Ward 01,603,582,1185
Hwange Urban,Ward 02,379,378,757
Hwange Urban,Ward 03,453,409,862
Hwange Urban,Ward 04,698,729,1427
Hwange Urban,Ward 05,1027,1115,2142
Hwange Urban,Ward 06,2663,2947,5610
Hwange Urban,Ward 07,553,369,922
Hwange Urban,Ward 08,4383,4583,8966
Hwange Urban,Ward 09,265,243,508
Hwange Urban,Ward 10,1060,1038,2098
Hwange Urban,Ward 11,2039,1801,3840
Hwange Urban,Ward 12,1122,1113,2235
Hwange Urban,Ward 14,2520,2545,5065
Hwange Urban,Ward 15,2349,2275,4624
Hwange Urban,Total,20114,20127,40241
Victoria Falls,Ward 01,568,628,1196
Victoria Falls,Ward 02,775,753,1528
Victoria Falls,Ward 03,562,602,1164
Victoria Falls,Ward 04,948,1074,2022
Victoria Falls,Ward 05,700,728,1428
Victoria Falls,Ward 06,603,645,1248
Victoria Falls,Ward 07,734,853,1587
Victoria Falls,Ward 08,607,751,1358
Victoria Falls,Ward 09,1530,1797,3327
Victoria Falls,Ward 10,1254,1329,2583
Victoria Falls,Ward 11,8382,9376,17758
Victoria Falls,Total,16663,18536,35199
Matabeleland South,Total,370713,389632,760345
Beitbridge Rural,Ward 01,2455,2817,5272
Beitbridge Rural,Ward 02,2573,2907,5480
Beitbridge Rural,Ward 03,3571,4630,8201
Beitbridge Rural,Ward 04,3086,3608,6694
Beitbridge Rural,Ward 05,6082,6934,13016
Beitbridge Rural,Ward 06,4169,4531,8700
Beitbridge Rural,Ward 07,1668,1871,3539
Beitbridge Rural,Ward 08,2018,2301,4319
Beitbridge Rural,Ward 09,2379,2625,5004
Beitbridge Rural,Ward 10,3053,3625,6678
Beitbridge Rural,Ward 11,3773,4297,8070
Beitbridge Rural,Ward 12,3289,3689,6978
Beitbridge Rural,Ward 13,1583,1285,2868
Beitbridge Rural,Ward 14,2378,1846,4224
Beitbridge Rural,Ward 15,2281,2676,4957
Beitbridge Rural,Total,44358,49642,94000
Bulilima,Ward 01,2211,2500,4711
Bulilima,Ward 02,1241,1463,2704
Bulilima,Ward 03,2793,3142,5935
Bulilima,Ward 04,2123,2391,4514
Bulilima,Ward 05,2733,3180,5913
Bulilima,Ward 06,2124,2603,4727
Bulilima,Ward 07,3320,4029,7349
Bulilima,Ward 08,1901,2446,4347
Bulilima,Ward 09,2213,2558,4771
Bulilima,Ward 10,1743,2063,3806
Bulilima,Ward 11,2176,2579,4755
Bulilima,Ward 12,2645,3250,5895
Bulilima,Ward 13,1480,1811,3291
Bulilima,Ward 14,2536,3074,5610
Bulilima,Ward 15,774,842,1616
Bulilima,Ward 16,968,876,1844
Bulilima,Ward 17,178,189,367
Bulilima,Ward 18,397,419,816
Bulilima,Ward 19,2384,2533,4917
Bulilima,Ward 20,916,972,1888
Bulilima,Ward 21,929,1084,2013
Bulilima,Ward 22,1735,2076,3811
Bulilima,Total,39520,46080,85600
Mangwe,Ward 01,1800,2082,3882
Mangwe,Ward 02,1844,2113,3957
Mangwe,Ward 03,2167,2547,4714
Mangwe,Ward 04,2459,2809,5268
Mangwe,Ward 05,1827,1935,3762
Mangwe,Ward 06,2558,3002,5560
Mangwe,Ward 07,1402,1671,3073
Mangwe,Ward 08,1111,1145,2256
Mangwe,Ward 09,1004,1238,2242
Mangwe,Ward 10,2108,2404,4512
Mangwe,Ward 11,1583,1139,2722
Mangwe,Ward 12,1274,1322,2596
Mangwe,Ward 13,1602,1753,3355
Mangwe,Ward 14,1004,1086,2090
Mangwe,Ward 15,2761,2937,5698
Mangwe,Ward 16,2610,3108,5718
Mangwe,Ward 17,1953,2204,4157
Mangwe,Total,31067,34495,65562
Gwanda,Ward 01,2426,2599,5025
Gwanda,Ward 02,1767,1934,3701
Gwanda,Ward 03,1717,1671,3388
Gwanda,Ward 04,2232,2394,4626
Gwanda,Ward 05,740,775,1515
Gwanda,Ward 06,2189,2290,4479
Gwanda,Ward 07,1456,1584,3040
Gwanda,Ward 08,3183,3283,6466
Gwanda,Ward 09,2150,2173,4323
Gwanda,Ward 10,159,75,234
Gwanda,Ward 11,2174,2432,4606
Gwanda,Ward 12,2472,2850,5322
Gwanda,Ward 13,3761,4223,7984
Gwanda,Ward 14,3182,3493,6675
Gwanda,Ward 15,2408,2812,5220
Gwanda,Ward 16,2602,3023,5625
Gwanda,Ward 17,3214,3547,6761
Gwanda,Ward 18,2600,2967,5567
Gwanda,Ward 19,2684,3114,5798
Gwanda,Ward 20,2216,2529,4745
Gwanda,Ward 21,6123,4147,10270
Gwanda,Ward 22,4497,3571,8068
Gwanda,Ward 23,4338,3956,8294
Gwanda,Ward 24,1310,1506,2816
Gwanda,Total,61600,62948,124548
Insiza,Ward 01,2053,2017,4070
Insiza,Ward 02,2751,2726,5477
Insiza,Ward 03,2909,3364,6273
Insiza,Ward 04,2348,2597,4945
Insiza,Ward 05,2129,2412,4541
Insiza,Ward 06,1789,2051,3840
Insiza,Ward 07,1888,2151,4039
Insiza,Ward 08,395,358,753
Insiza,Ward 09,2259,2433,4692
Insiza,Ward 10,1133,1055,2188
Insiza,Ward 11,1198,1292,2490
Insiza,Ward 12,968,1137,2105
Insiza,Ward 13,2715,2472,5187
Insiza,Ward 14,2303,1446,3749
Insiza,Ward 15,5222,4623,9845
Insiza,Ward 16,2630,1982,4612
Insiza,Ward 17,3945,3883,7828
Insiza,Ward 18,1892,2014,3906
Insiza,Ward 19,4488,4527,9015
Insiza,Ward 20,5493,5799,11292
Insiza,Ward 21,3775,3835,7610
Insiza,Ward 22,4876,4488,9364
Insiza,Ward 23,2965,2117,5082
Insiza,Total,62124,60779,122903
Matobo,Ward 01,1957,2099,4056
Matobo,Ward 02,3587,3368,6955
Matobo,Ward 03,1786,1955,3741
Matobo,Ward 04,2583,2721,5304
Matobo,Ward 05,2134,2249,4383
Matobo,Ward 06,2357,2853,5210
Matobo,Ward 07,2210,2666,4876
Matobo,Ward 08,1914,2084,3998
Matobo,Ward 09,1465,1603,3068
Matobo,Ward 10,1448,1659,3107
Matobo,Ward 11,1469,1665,3134
Matobo,Ward 12,1933,2002,3935
Matobo,Ward 13,1471,1746,3217
Matobo,Ward 14,1955,2122,4077
Matobo,Ward 15,2607,2840,5447
Matobo,Ward 16,2068,2238,4306
Matobo,Ward 17,2086,2299,4385
Matobo,Ward 18,1835,2003,3838
Matobo,Ward 19,3700,3809,7509
Matobo,Ward 20,85,,85
Matobo,Ward 21,483,417,900
Matobo,Ward 22,562,185,747
Matobo,Ward 23,603,450,1053
Matobo,Ward 24,1134,946,2080
Matobo,Ward 25,3692,2593,6285
Matobo,Total,47124,48572,95696
Umzingwane,Ward 01,1756,1845,3601
Umzingwane,Ward 02,2435,2464,4899
Umzingwane,Ward 03,2920,2849,5769
Umzingwane,Ward 04,1938,1915,3853
Umzingwane,Ward 05,2729,3026,5755
Umzingwane,Ward 06,1983,2073,4056
Umzingwane,Ward 07,1354,1547,2901
Umzingwane,Ward 08,1343,1337,2680
Umzingwane,Ward 09,1205,1296,2501
Umzingwane,Ward 10,489,599,1088
Umzingwane,Ward 11,1078,1105,2183
Umzingwane,Ward 12,1677,1854,3531
Umzingwane,Ward 13,836,861,1697
Umzingwane,Ward 14,2608,2157,4765
Umzingwane,Ward 15,431,147,578
Umzingwane,Ward 16,2406,2294,4700
Umzingwane,Ward 17,1576,1401,2977
Umzingwane,Ward 18,2901,2222,5123
Umzingwane,Ward 19,3464,2537,6001
Umzingwane,Ward 20,1855,1347,3202
Umzingwane,Total,36984,34876,71860
Gwanda Urban,Ward 01,782,822,1604
Gwanda Urban,Ward 02,305,310,615
Gwanda Urban,Ward 03,518,539,1057
Gwanda Urban,Ward 04,1199,1278,2477
Gwanda Urban,Ward 05,2877,3282,6159
Gwanda Urban,Ward 06,1477,1782,3259
Gwanda Urban,Ward 07,1679,2141,3820
Gwanda Urban,Ward 08,2010,2168,4178
Gwanda Urban,Ward 09,1482,1680,3162
Gwanda Urban,Ward 10,444,368,812
Gwanda Urban,Total,12773,14370,27143
Beitbridge,Ward 01,1598,1580,3178
Beitbridge,Ward 02,1456,1538,2994
Beitbridge,Ward 03,2691,2686,5377
Beitbridge,Ward 04,5321,5731,11052
Beitbridge,Ward 05,7191,7844,15035
Beitbridge,Ward 06,10208,10730,20938
Beitbridge,Total,28465,30109,58574
Plumtree,Ward 01,2186,2598,4784
Plumtree,Ward 02,468,525,993
Plumtree,Ward 03,2059,2611,4670
Plumtree,Ward 04,845,869,1714
Plumtree,Ward 05,310,226,536
Plumtree,Ward 06,830,932,1762
Plumtree,Total,6698,7761,14459
Midlands,Total,870664,941244,1811908
Chirumhanzu,Ward 01,1710,2142,3852
Chirumhanzu,Ward 02,1942,2432,4374
Chirumhanzu,Ward 03,1847,2165,4012
Chirumhanzu,Ward 04,965,1169,2134
Chirumhanzu,Ward 05,1363,1643,3006
Chirumhanzu,Ward 06,1616,1862,3478
Chirumhanzu,Ward 07,1149,1285,2434
Chirumhanzu,Ward 08,1419,1737,3156
Chirumhanzu,Ward 09,2245,2638,4883
Chirumhanzu,Ward 10,520,586,1106
Chirumhanzu,Ward 11,2036,2211,4247
Chirumhanzu,Ward 12,4411,4030,8441
Chirumhanzu,Ward 13,1364,1616,2980
Chirumhanzu,Ward 14,1263,1472,2735
Chirumhanzu,Ward 15,3192,2777,5969
Chirumhanzu,Ward 16,904,704,1608
Chirumhanzu,Ward 17,1267,1339,2606
Chirumhanzu,Ward 18,1293,1364,2657
Chirumhanzu,Ward 19,2233,2539,4772
Chirumhanzu,Ward 20,4964,5040,10004
Chirumhanzu,Ward 21,956,1158,2114
Chirumhanzu,Ward 22,2670,2581,5251
Chirumhanzu,Ward 23,1496,1844,3340
Chirumhanzu,Ward 24,1113,1325,2438
Chirumhanzu,Ward 25,1651,2024,3675
Chirumhanzu,Total,45589,49683,95272
Gokwe North,Ward 01,3117,3423,6540
Gokwe North,Ward 02,8223,9117,17340
Gokwe North,Ward 03,4287,4728,9015
Gokwe North,Ward 04,4398,4855,9253
Gokwe North,Ward 05,4089,4461,8550
Gokwe North,Ward 06,2201,2380,4581
Gokwe North,Ward 07,3835,4019,7854
Gokwe North,Ward 08,4034,4499,8533
Gokwe North,Ward 09,5029,5574,10603
Gokwe North,Ward 10,2528,2742,5270
Gokwe North,Ward 11,4016,4234,8250
Gokwe North,Ward 12,3414,3680,7094
Gokwe North,Ward 13,7613,8699,16312
Gokwe North,Ward 14,4003,4345,8348
Gokwe North,Ward 15,2907,3138,6045
Gokwe North,Ward 16,2142,2317,4459
Gokwe North,Ward 17,2612,2730,5342
Gokwe North,Ward 18,1578,1738,3316
Gokwe North,Ward 19,2708,2882,5590
Gokwe North,Ward 20,2548,2673,5221
Gokwe North,Ward 21,2430,2596,5026
Gokwe North,Ward 22,6484,6066,12550
Gokwe North,Ward 23,3511,3598,7109
Gokwe North,Ward 24,1086,1062,2148
Gokwe North,Ward 25,1747,1754,3501
Gokwe North,Ward 26,1257,1217,2474
Gokwe North,Ward 27,2320,2599,4919
Gokwe North,Ward 28,4176,4527,8703
Gokwe North,Ward 29,1865,2255,4120
Gokwe North,Ward 30,3276,3670,6946
Gokwe North,Ward 31,3432,4008,7440
Gokwe North,Ward 32,1516,1625,3141
Gokwe North,Ward 33,2922,3199,6121
Gokwe North,Ward 34,2599,2929,5528
Gokwe North,Ward 35,3357,3617,6974
Gokwe North,Ward 36,2619,2888,5507
Gokwe North,Total,119879,129844,249723
Gokwe South,Ward 01,5078,5628,10706
Gokwe South,Ward 02,3927,4095,8022
Gokwe South,Ward 03,1493,1578,3071
Gokwe South,Ward 04,3829,4209,8038
Gokwe South,Ward 05,5007,5627,10634
Gokwe South,Ward 06,3446,3904,7350
Gokwe South,Ward 07,2999,3402,6401
Gokwe South,Ward 08,4736,5123,9859
Gokwe South,Ward 09,8542,9637,18179
Gokwe South,Ward 10,5448,6214,11662
Gokwe South,Ward 11,6144,6748,12892
Gokwe South,Ward 12,4798,5285,10083
Gokwe South,Ward 13,6648,7264,13912
Gokwe South,Ward 14,5347,5787,11134
Gokwe South,Ward 15,9641,10702,20343
Gokwe South,Ward 16,4744,5195,9939
Gokwe South,Ward 17,2973,3088,6061
Gokwe South,Ward 18,4847,5305,10152
Gokwe South,Ward 19,6741,7214,13955
Gokwe South,Ward 20,2966,3360,6326
Gokwe South,Ward 21,4307,4747,9054
Gokwe South,Ward 22,3211,3464,6675
Gokwe South,Ward 23,6856,7386,14242
Gokwe South,Ward 24,9863,10099,19962
Gokwe South,Ward 25,6222,6587,12809
Gokwe South,Ward 26,3008,3510,6518
Gokwe South,Ward 27,4579,5374,9953
Gokwe South,Ward 28,2522,2469,4991
Gokwe South,Ward 29,3018,3304,6322
Gokwe South,Ward 30,2187,2285,4472
Gokwe South,Ward 31,1936,2117,4053
Gokwe South,Ward 32,2202,2506,4708
Gokwe South,Ward 33,2517,2558,5075
Gokwe South,Total,151782,165771,317553
Gweru Rural,Ward 01,2939,2880,5819
Gweru Rural,Ward 02,2240,2591,4831
Gweru Rural,Ward 03,3687,4315,8002
Gweru Rural,Ward 04,1689,1896,3585
Gweru Rural,Ward 05,1036,1187,2223
Gweru Rural,Ward 06,2152,2485,4637
Gweru Rural,Ward 07,2018,2162,4180
Gweru Rural,Ward 08,4792,5373,10165
Gweru Rural,Ward 09,3226,2863,6089
Gweru Rural,Ward 10,2373,2683,5056
Gweru Rural,Ward 11,1806,2080,3886
Gweru Rural,Ward 12,1977,2362,4339
Gweru Rural,Ward 13,1072,1175,2247
Gweru Rural,Ward 14,6035,4541,10576
Gweru Rural,Ward 15,2264,2037,4301
Gweru Rural,Ward 16,12867,13051,25918
Gweru Rural,Ward 17,2046,1852,3898
Gweru Rural,Ward 18,4027,3680,7707
Gweru Rural,Ward 19,2187,2066,4253
Gweru Rural,Total,60433,61279,121712
Kwekwe Rural,Ward 01,3620,3409,7029
Kwekwe Rural,Ward 02,3204,2911,6115
Kwekwe Rural,Ward 03,3394,2834,6228
Kwekwe Rural,Ward 04,1978,1568,3546
Kwekwe Rural,Ward 05,2103,2140,4243
Kwekwe Rural,Ward 06,3792,3777,7569
Kwekwe Rural,Ward 07,2708,2982,5690
Kwekwe Rural,Ward 08,5897,5918,11815
Kwekwe Rural,Ward 09,2001,2089,4090
Kwekwe Rural,Ward 10,2123,2094,4217
Kwekwe Rural,Ward 11,3229,3455,6684
Kwekwe Rural,Ward 12,2447,2692,5139
Kwekwe Rural,Ward 13,3182,3339,6521
Kwekwe Rural,Ward 14,3377,3520,6897
Kwekwe Rural,Ward 15,4404,4336,8740
Kwekwe Rural,Ward 16,2221,2335,4556
Kwekwe Rural,Ward 17,3794,4192,7986
Kwekwe Rural,Ward 18,1065,1218,2283
Kwekwe Rural,Ward 19,1368,1381,2749
Kwekwe Rural,Ward 20,3208,3314,6522
Kwekwe Rural,Ward 21,5517,5727,11244
Kwekwe Rural,Ward 22,5391,5312,10703
Kwekwe Rural,Ward 23,880,872,1752
Kwekwe Rural,Ward 24,3479,3485,6964
Kwekwe Rural,Ward 25,2829,2933,5762
