,,,,
Kwekwe Rural,Ward 26,1438,1357,2795
Kwekwe Rural,Ward 27,2845,2808,5653
Kwekwe Rural,Ward 28,1008,1085,2093
Kwekwe Rural,Ward 29,1364,1565,2929
Kwekwe Rural,Ward 30,3687,3423,7110
Kwekwe Rural,Ward 31,6378,5023,11401
Kwekwe Rural,Ward 32,3194,3395,6589
Kwekwe Rural,Ward 33,1669,1780,3449
Kwekwe Rural,Total,98794,98269,197063
Mberengwa,Ward 01,3868,3835,7703
Mberengwa,Ward 02,12027,11245,23272
Mberengwa,Ward 03,2661,2979,5640
Mberengwa,Ward 04,3189,3614,6803
Mberengwa,Ward 05,3149,3762,6911
Mberengwa,Ward 06,3575,4358,7933
Mberengwa,Ward 07,1783,2060,3843
Mberengwa,Ward 08,2049,2325,4374
Mberengwa,Ward 09,1637,1706,3343
Mberengwa,Ward 10,1956,1991,3947
Mberengwa,Ward 11,1769,1974,3743
Mberengwa,Ward 12,2358,2540,4898
Mberengwa,Ward 13,2231,2397,4628
Mberengwa,Ward 14,1794,1943,3737
Mberengwa,Ward 15,2077,2157,4234
Mberengwa,Ward 16,2062,2337,4399
Mberengwa,Ward 17,2419,2662,5081
Mberengwa,Ward 18,3936,4677,8613
Mberengwa,Ward 19,2827,3397,6224
Mberengwa,Ward 20,1522,1765,3287
Mberengwa,Ward 21,2036,2558,4594
Mberengwa,Ward 22,1738,2082,3820
Mberengwa,Ward 23,2037,2463,4500
Mberengwa,Ward 24,2193,2656,4849
Mberengwa,Ward 25,1765,2139,3904
Mberengwa,Ward 26,2813,3363,6176
Mberengwa,Ward 27,1717,1981,3698
Mberengwa,Ward 28,1835,2172,4007
Mberengwa,Ward 29,2670,3210,5880
Mberengwa,Ward 30,2235,2741,4976
Mberengwa,Ward 31,3231,3885,7116
Mberengwa,Ward 32,2804,3222,6026
Mberengwa,Ward 33,1472,1743,3215
Mberengwa,Ward 34,1502,1775,3277
Mberengwa,Ward 35,3819,3608,7427
Mberengwa,Ward 36,5768,4915,10683
Mberengwa,Ward 37,804,893,1697
Mberengwa,Total,99328,109130,208458
Shurugwi Rural,Ward 01,1636,1775,3411
Shurugwi Rural,Ward 02,1429,1473,2902
Shurugwi Rural,Ward 03,162,160,322
Shurugwi Rural,Ward 04,240,215,455
Shurugwi Rural,Ward 05,1457,1671,3128
Shurugwi Rural,Ward 06,775,840,1615
Shurugwi Rural,Ward 07,1232,1458,2690
Shurugwi Rural,Ward 08,1163,1319,2482
Shurugwi Rural,Ward 09,2249,2569,4818
Shurugwi Rural,Ward 10,3904,4677,8581
Shurugwi Rural,Ward 11,2978,3386,6364
Shurugwi Rural,Ward 12,1921,2255,4176
Shurugwi Rural,Ward 13,1501,1761,3262
Shurugwi Rural,Ward 14,1246,1445,2691
Shurugwi Rural,Ward 15,1295,1381,2676
Shurugwi Rural,Ward 16,1901,1817,3718
Shurugwi Rural,Ward 17,3031,2108,5139
Shurugwi Rural,Ward 18,9886,8233,18119
Shurugwi Rural,Ward 19,3402,3261,6663
Shurugwi Rural,Ward 20,1790,1926,3716
Shurugwi Rural,Ward 21,2879,3106,5985
Shurugwi Rural,Ward 22,261,250,511
Shurugwi Rural,Ward 23,846,927,1773
Shurugwi Rural,Ward 24,1425,1693,3118
Shurugwi Rural,Total,48609,49706,98315
Zvishavane Rural,Ward 01,897,1040,1937
Zvishavane Rural,Ward 02,1562,1801,3363
Zvishavane Rural,Ward 03,1685,1848,3533
Zvishavane Rural,Ward 04,1733,2001,3734
Zvishavane Rural,Ward 05,1717,1537,3254
Zvishavane Rural,Ward 06,2527,2947,5474
Zvishavane Rural,Ward 07,2239,2482,4721
Zvishavane Rural,Ward 08,1492,1650,3142
Zvishavane Rural,Ward 09,1643,2007,3650
Zvishavane Rural,Ward 10,2107,2354,4461
Zvishavane Rural,Ward 11,1617,1837,3454
Zvishavane Rural,Ward 12,2175,2298,4473
Zvishavane Rural,Ward 13,2752,2930,5682
Zvishavane Rural,Ward 14,3831,3376,7207
Zvishavane Rural,Ward 15,2989,3273,6262
Zvishavane Rural,Ward 16,2137,2452,4589
Zvishavane Rural,Ward 17,2567,2924,5491
Zvishavane Rural,Ward 18,2625,2478,5103
Zvishavane Rural,Ward 19,3003,2502,5505
Zvishavane Rural,Total,41298,43737,85035
Gweru Urban,Ward 01,2906,3379,6285
Gweru Urban,Ward 02,4929,5609,10538
Gweru Urban,Ward 03,1717,1987,3704
Gweru Urban,Ward 04,3578,4281,7859
Gweru Urban,Ward 05,6670,7614,14284
Gweru Urban,Ward 06,6162,7202,13364
Gweru Urban,Ward 07,3109,3527,6636
Gweru Urban,Ward 08,7383,8181,15564
Gweru Urban,Ward 09,3393,3965,7358
Gweru Urban,Ward 10,5206,6153,11359
Gweru Urban,Ward 11,3165,3673,6838
Gweru Urban,Ward 12,3208,3826,7034
Gweru Urban,Ward 13,4091,4873,8964
Gweru Urban,Ward 14,3340,3960,7300
Gweru Urban,Ward 15,5923,7091,13014
Gweru Urban,Ward 16,3673,4573,8246
Gweru Urban,Ward 17,3655,4489,8144
Gweru Urban,Ward 18,2337,2464,4801
Gweru Urban,Total,74445,86847,161292
Kwekwe Urban,Ward 01,4891,5769,10660
Kwekwe Urban,Ward 02,8520,9579,18099
Kwekwe Urban,Ward 03,4827,5405,10232
Kwekwe Urban,Ward 04,3721,4344,8065
Kwekwe Urban,Ward 05,4729,5647,10376
Kwekwe Urban,Ward 06,3063,2912,5975
Kwekwe Urban,Ward 07,2042,2295,4337
Kwekwe Urban,Ward 08,2742,2942,5684
Kwekwe Urban,Ward 09,2174,2179,4353
Kwekwe Urban,Ward 10,3638,3811,7449
Kwekwe Urban,Ward 11,7755,8730,16485
Kwekwe Urban,Ward 12,4055,4712,8767
Kwekwe Urban,Ward 13,1916,2174,4090
Kwekwe Urban,Ward 14,2498,2793,5291
Kwekwe Urban,Total,56571,63292,119863
Redcliff,Ward 01,1126,1240,2366
Redcliff,Ward 02,1527,1717,3244
Redcliff,Ward 03,1273,1479,2752
Redcliff,Ward 04,1733,2118,3851
Redcliff,Ward 05,4838,5355,10193
Redcliff,Ward 06,5601,6343,11944
Redcliff,Ward 07,828,1037,1865
Redcliff,Ward 08,859,985,1844
Redcliff,Ward 09,1626,1841,3467
Redcliff,Total,19411,22115,41526
Zvishavane Urban,Ward 01,1468,1694,3162
Zvishavane Urban,Ward 02,762,953,1715
Zvishavane Urban,Ward 03,1994,2359,4353
Zvishavane Urban,Ward 04,4894,5439,10333
Zvishavane Urban,Ward 05,1507,1692,3199
Zvishavane Urban,Ward 06,1938,1848,3786
Zvishavane Urban,Ward 07,7348,8549,15897
Zvishavane Urban,Ward 08,4283,4669,8952
Zvishavane Urban,Ward 09,1855,2012,3867
Zvishavane Urban,Ward 10,2166,2287,4453
Zvishavane Urban,Total,28215,31502,59717
Gokwe Centre,Ward 01,1876,2336,4212
Gokwe Centre,Ward 02,1733,2182,3915
Gokwe Centre,Ward 03,4143,4821,8964
Gokwe Centre,Ward 04,1181,1362,2543
Gokwe Centre,Ward 05,4316,5506,9822
Gokwe Centre,Ward 06,1684,1935,3619
Gokwe Centre,Total,14933,18142,33075
Shurugwi Urban,Ward 01,527,522,1049
Shurugwi Urban,Ward 02,594,594,1188
Shurugwi Urban,Ward 03,644,654,1298
Shurugwi Urban,Ward 04,485,534,1019
Shurugwi Urban,Ward 05,899,1042,1941
Shurugwi Urban,Ward 06,567,560,1127
Shurugwi Urban,Ward 07,623,580,1203
Shurugwi Urban,Ward 08,681,752,1433
Shurugwi Urban,Ward 09,510,604,1114
Shurugwi Urban,Ward 10,698,838,1536
Shurugwi Urban,Ward 11,1320,1424,2744
Shurugwi Urban,Ward 12,3189,3377,6566
Shurugwi Urban,Ward 13,640,446,1086
Shurugwi Urban,Total,11377,11927,23304
Masvingo,Total,763537,875002,1638539
Bikita,Ward 01,1925,2281,4206
Bikita,Ward 02,4349,5089,9438
Bikita,Ward 03,3861,4529,8390
Bikita,Ward 04,2520,3048,5568
Bikita,Ward 05,2900,3551,6451
Bikita,Ward 06,2110,2608,4718
Bikita,Ward 07,2403,2881,5284
Bikita,Ward 08,2772,3638,6410
Bikita,Ward 09,3599,4185,7784
Bikita,Ward 10,2723,3163,5886
Bikita,Ward 11,3799,4454,8253
Bikita,Ward 12,2264,2553,4817
Bikita,Ward 13,6170,7367,13537
Bikita,Ward 14,2845,3531,6376
Bikita,Ward 15,3123,4039,7162
Bikita,Ward 16,3917,4889,8806
Bikita,Ward 17,2226,2692,4918
Bikita,Ward 18,2196,2650,4846
Bikita,Ward 19,2218,2627,4845
Bikita,Ward 20,3410,4312,7722
Bikita,Ward 21,1777,2157,3934
Bikita,Ward 22,2780,3291,6071
Bikita,Ward 23,141,138,279
Bikita,Ward 24,2857,3390,6247
Bikita,Ward 25,2221,2591,4812
Bikita,Ward 26,2344,2470,4814
Bikita,Ward 27,289,49,338
Bikita,Ward 28,838,903,1741
Bikita,Ward 29,827,850,1677
Bikita,Ward 30,643,455,1098
Bikita,Ward 31,2705,3179,5884
Bikita,Ward 32,2092,2431,4523
Bikita,Total,80844,95991,176835
Chiredzi Rural,Ward 01,2146,2539,4685
Chiredzi Rural,Ward 02,2136,2652,4788
Chiredzi Rural,Ward 03,1772,2169,3941
Chiredzi Rural,Ward 04,2839,3489,6328
Chiredzi Rural,Ward 05,2131,2613,4744
Chiredzi Rural,Ward 06,3843,4522,8365
Chiredzi Rural,Ward 07,3981,4968,8949
Chiredzi Rural,Ward 08,4638,5464,10102
Chiredzi Rural,Ward 09,2303,2683,4986
Chiredzi Rural,Ward 10,5077,6193,11270
Chiredzi Rural,Ward 11,6401,8193,14594
Chiredzi Rural,Ward 12,170,164,334
Chiredzi Rural,Ward 13,2132,2675,4807
Chiredzi Rural,Ward 14,4810,5911,10721
Chiredzi Rural,Ward 15,4270,5188,9458
Chiredzi Rural,Ward 16,12451,13984,26435
Chiredzi Rural,Ward 17,10394,11382,21776
Chiredzi Rural,Ward 18,5509,5141,10650
Chiredzi Rural,Ward 19,5395,4264,9659
Chiredzi Rural,Ward 20,10163,11139,21302
Chiredzi Rural,Ward 21,4945,4323,9268
Chiredzi Rural,Ward 22,3693,4223,7916
Chiredzi Rural,Ward 23,3309,3715,7024
Chiredzi Rural,Ward 24,12754,13434,26188
Chiredzi Rural,Ward 25,1574,2038,3612
Chiredzi Rural,Ward 26,1761,1859,3620
Chiredzi Rural,Ward 27,3785,3312,7097
Chiredzi Rural,Ward 28,7607,6678,14285
Chiredzi Rural,Ward 29,3747,3227,6974
Chiredzi Rural,Ward 30,3718,2756,6474
Chiredzi Rural,Ward 31,3913,2889,6802
Chiredzi Rural,Ward 32,3149,3200,6349
Chiredzi Rural,Total,146516,156987,303503
Chivi,Ward 01,2449,2781,5230
Chivi,Ward 02,2857,3204,6061
Chivi,Ward 03,2669,2793,5462
Chivi,Ward 04,2033,2390,4423
Chivi,Ward 05,1893,2200,4093
Chivi,Ward 06,1242,1446,2688
Chivi,Ward 07,1341,1467,2808
Chivi,Ward 08,2036,2241,4277
Chivi,Ward 09,1803,2151,3954
Chivi,Ward 10,1679,1973,3652
Chivi,Ward 11,1776,2049,3825
Chivi,Ward 12,2250,2622,4872
Chivi,Ward 13,1825,2224,4049
Chivi,Ward 14,2820,3219,6039
Chivi,Ward 15,2053,2483,4536
Chivi,Ward 16,3933,4555,8488
Chivi,Ward 17,1955,2380,4335
Chivi,Ward 18,1944,2359,4303
Chivi,Ward 19,2659,3087,5746
Chivi,Ward 20,2915,3423,6338
Chivi,Ward 21,2429,2882,5311
Chivi,Ward 22,2638,3141,5779
Chivi,Ward 23,2282,2806,5088
Chivi,Ward 24,1054,1177,2231
Chivi,Ward 25,5881,7393,13274
Chivi,Ward 26,4019,4958,8977
Chivi,Ward 27,3073,3601,6674
Chivi,Ward 28,4591,5100,9691
Chivi,Ward 29,2675,2999,5674
Chivi,Ward 30,3381,4458,7839
Chivi,Ward 31,842,912,1754
Chivi,Ward 32,2559,2949,5508
Chivi,Total,79556,93423,172979
Gutu,Ward 01,5850,5776,11626
Gutu,Ward 02,1609,1900,3509
Gutu,Ward 03,2079,2289,4368
Gutu,Ward 04,1091,1144,2235
Gutu,Ward 05,2086,2331,4417
Gutu,Ward 06,2271,2865,5136
Gutu,Ward 07,2976,3170,6146
Gutu,Ward 08,3956,4723,8679
Gutu,Ward 09,2364,2897,5261
Gutu,Ward 10,3000,3471,6471
Gutu,Ward 11,2750,3388,6138
Gutu,Ward 12,2837,3536,6373
Gutu,Ward 13,3496,4256,7752
Gutu,Ward 14,1321,1580,2901
Gutu,Ward 15,4854,5998,10852
Gutu,Ward 16,3201,3884,7085
Gutu,Ward 17,1345,1698,3043
Gutu,Ward 18,2117,2319,4436
Gutu,Ward 19,1771,2089,3860
Gutu,Ward 20,721,773,1494
Gutu,Ward 21,1842,2262,4104
Gutu,Ward 22,1785,2128,3913
Gutu,Ward 23,3400,4007,7407
Gutu,Ward 24,2358,2941,5299
Gutu,Ward 25,1948,2310,4258
Gutu,Ward 26,2003,2379,4382
Gutu,Ward 27,2475,3006,5481
Gutu,Ward 28,1988,2420,4408
Gutu,Ward 29,1852,2056,3908
Gutu,Ward 30,1510,1867,3377
Gutu,Ward 31,2057,2417,4474
Gutu,Ward 32,4416,4732,9148
Gutu,Ward 33,872,958,1830
Gutu,Ward 34,4254,5079,9333
Gutu,Ward 35,1634,1938,3572
Gutu,Ward 36,1945,2422,4367
Gutu,Ward 37,2962,3482,6444
Gutu,Ward 38,836,996,1832
Gutu,Ward 39,991,1146,2137
Gutu,Ward 40,1287,1527,2814
Gutu,Ward 41,1732,2158,3890
Gutu,Total,95842,112318,208160
Masvingo Rural,Ward 01,2724,3287,6011
Masvingo Rural,Ward 02,2833,3455,6288
Masvingo Rural,Ward 03,1177,1207,2384
Masvingo Rural,Ward 04,445,494,939
Masvingo Rural,Ward 05,2538,2827,5365
Masvingo Rural,Ward 06,5511,5378,10889
Masvingo Rural,Ward 07,10534,11352,21886
Masvingo Rural,Ward 08,5021,5115,10136
Masvingo Rural,Ward 09,3316,3601,6917
Masvingo Rural,Ward 10,4906,5216,10122
Masvingo Rural,Ward 11,2425,2770,5195
Masvingo Rural,Ward 12,3566,4202,7768
Masvingo Rural,Ward 13,3992,4620,8612
Masvingo Rural,Ward 14,2739,3326,6065
Masvingo Rural,Ward 15,2682,3165,5847
Masvingo Rural,Ward 16,3421,4098,7519
Masvingo Rural,Ward 17,3348,3946,7294
Masvingo Rural,Ward 18,3584,4223,7807
Masvingo Rural,Ward 19,1439,1758,3197
Masvingo Rural,Ward 20,2011,2363,4374
Masvingo Rural,Ward 21,1838,1908,3746
Masvingo Rural,Ward 22,3108,3794,6902
Masvingo Rural,Ward 23,1976,2211,4187
Masvingo Rural,Ward 24,2194,2706,4900
Masvingo Rural,Ward 25,1307,1625,2932
Masvingo Rural,Ward 26,2598,3194,5792
Masvingo Rural,Ward 27,1263,1546,2809
Masvingo Rural,Ward 28,2417,2980,5397
Masvingo Rural,Ward 29,3249,3716,6965
Masvingo Rural,Ward 30,8969,10495,19464
Masvingo Rural,Ward 31,1124,1218,2342
Masvingo Rural,Ward 32,5020,4449,9469
Masvingo Rural,Ward 33,3618,3412,7030
Masvingo Rural,Ward 34,2808,3246,6054
Masvingo Rural,Ward 35,2856,2643,5499
Masvingo Rural,Total,112557,125546,238103
Mwenezi,Ward 01,3078,3742,6820
Mwenezi,Ward 02,2481,3031,5512
Mwenezi,Ward 03,3679,4438,8117
Mwenezi,Ward 04,2829,3283,6112
Mwenezi,Ward 05,5316,6362,11678
Mwenezi,Ward 06,1983,2456,4439
Mwenezi,Ward 07,3447,4012,7459
Mwenezi,Ward 08,3253,4139,7392
Mwenezi,Ward 09,3480,4247,7727
Mwenezi,Ward 10,3797,4862,8659
Mwenezi,Ward 11,3298,4200,7498
Mwenezi,Ward 12,2771,3328,6099
Mwenezi,Ward 13,22973,25234,48207
Mwenezi,Ward 14,5032,5594,10626
Mwenezi,Ward 15,5905,6410,12315
Mwenezi,Ward 16,8133,9080,17213
Mwenezi,Ward 17,12680,14348,27028
Mwenezi,Ward 18,2878,3548,6426
Mwenezi,Total,97013,112314,209327
Zaka,Ward 01,1635,1956,3591
Zaka,Ward 02,2241,2682,4923
Zaka,Ward 03,3050,3652,6702
Zaka,Ward 04,4453,5188,9641
Zaka,Ward 05,3218,3958,7176
Zaka,Ward 06,2265,2693,4958
Zaka,Ward 07,1494,1684,3178
Zaka,Ward 08,3340,3983,7323
Zaka,Ward 09,2672,3261,5933
Zaka,Ward 10,2485,2933,5418
Zaka,Ward 11,2732,3342,6074
Zaka,Ward 12,2755,3083,5838
Zaka,Ward 13,2161,2460,4621
Zaka,Ward 14,2380,2845,5225
Zaka,Ward 15,4136,4741,8877
Zaka,Ward 16,2299,2712,5011
Zaka,Ward 17,1382,1741,3123
Zaka,Ward 18,2940,3478,6418
Zaka,Ward 19,6272,7673,13945
Zaka,Ward 20,2576,3066,5642
Zaka,Ward 21,2795,3058,5853
Zaka,Ward 22,1815,2150,3965
Zaka,Ward 23,2040,2482,4522
Zaka,Ward 24,2822,3463,6285
Zaka,Ward 25,3785,4351,8136
Zaka,Ward 26,2243,2632,4875
Zaka,Ward 27,3109,3672,6781
Zaka,Ward 28,2793,3426,6219
Zaka,Ward 29,1766,2140,3906
Zaka,Ward 30,2507,2981,5488
Zaka,Ward 31,2420,3015,5435
Zaka,Ward 32,2069,2375,4444
Zaka,Ward 33,2229,2718,4947
Zaka,Ward 34,2031,2385,4416
Zaka,Total,90910,107979,198889
Masvingo Urban,Ward 01,2090,2308,4398
Masvingo Urban,Ward 02,2795,3079,5874
Masvingo Urban,Ward 03,6333,7645,13978
Masvingo Urban,Ward 04,5845,7170,13015
Masvingo Urban,Ward 05,4097,4890,8987
Masvingo Urban,Ward 06,5169,6586,11755
Masvingo Urban,Ward 07,8815,10891,19706
Masvingo Urban,Ward 08,1134,1115,2249
Masvingo Urban,Ward 09,2336,2465,4801
Masvingo Urban,Ward 10,2707,2816,5523
Masvingo Urban,Total,41321,48965,90286
Chiredzi Urban,Ward 01,462,464,926
Chiredzi Urban,Ward 02,2060,2254,4314
Chiredzi Urban,Ward 03,2146,2511,4657
Chiredzi Urban,Ward 04,2929,3370,6299
Chiredzi Urban,Ward 05,2456,2778,5234
Chiredzi Urban,Ward 06,1502,1839,3341
Chiredzi Urban,Ward 07,1763,2011,3774
Chiredzi Urban,Ward 08,5660,6252,11912
Chiredzi Urban,Total,18978,21479,40457
Harare,Total,1159543,1267666,2427209
Harare Rural,Ward 01,174604,183256,357860
Harare Rural,Total,174604,183256,357860
Harare Urban,Ward 02,13671,16558,30229
Harare Urban,Ward 03,10583,9928,20511
Harare Urban,Ward 04,5993,5706,11699
Harare Urban,Ward 05,8090,8551,16641
Harare Urban,Ward 06,6648,8452,15100
Harare Urban,Ward 07,13685,12220,25905
Harare Urban,Ward 08,7127,7166,14293
Harare Urban,Ward 09,24718,24784,49502
Harare Urban,Ward 10,8568,9373,17941
Harare Urban,Ward 11,9245,9653,18898
Harare Urban,Ward 12,9897,10397,20294
Harare Urban,Ward 13,11051,12416,23467
Harare Urban,Ward 14,17299,18762,36061
Harare Urban,Ward 15,30498,35108,65606
Harare Urban,Ward 16,25802,30795,56597
Harare Urban,Ward 17,9042,9444,18486
Harare Urban,Ward 18,14509,14420,28929
Harare Urban,Ward 19,8334,9071,17405
Harare Urban,Ward 20,11777,12514,24291
Harare Urban,Ward 21,10935,11864,22799
Harare Urban,Ward 22,20600,24006,44606
Harare Urban,Ward 23,30015,35334,65349
Harare Urban,Ward 24,12675,13798,26473
Harare Urban,Ward 25,12200,13805,26005
Harare Urban,Ward 26,15113,15987,31100
Harare Urban,Ward 27,15919,17587,33506
Harare Urban,Ward 28,13095,14839,27934
Harare Urban,Ward 29,5200,5901,11101
Harare Urban,Ward 30,23177,25818,48995
Harare Urban,Ward 31,9216,10440,19656
Harare Urban,Ward 32,16563,18239,34802
Harare Urban,Ward 33,26982,29770,56752
Harare Urban,Ward 34,10278,11193,21471
Harare Urban,Ward 35,9417,10151,19568
Harare Urban,Ward 36,6107,6859,12966
Harare Urban,Ward 37,32702,36336,69038
Harare Urban,Ward 38,14747,16454,31201
Harare Urban,Ward 39,9512,10283,19795
Harare Urban,Ward 40,34158,37459,71617
Harare Urban,Ward 41,25733,29749,55482
Harare Urban,Ward 42,33693,35541,69234
Harare Urban,Ward 43,42333,46954,89287
Harare Urban,Ward 44,12632,14831,27463
Harare Urban,Ward 45,14271,16206,30477
Harare Urban,Ward 46,6350,6858,13208
Harare Urban,Total,710160,781580,1491740
Chitungwiza,Ward 01,4140,4805,8945
Chitungwiza,Ward 02,4986,5497,10483
Chitungwiza,Ward 03,5019,5606,10625
Chitungwiza,Ward 04,14128,15714,29842
Chitungwiza,Ward 05,3987,4555,8542
Chitungwiza,Ward 06,16898,18398,35296
Chitungwiza,Ward 07,3227,3595,6822
Chitungwiza,Ward 08,3895,4413,8308
Chitungwiza,Ward 09,3830,4287,8117
Chitungwiza,Ward 10,2978,3405,6383
Chitungwiza,Ward 11,3850,4680,8530
Chitungwiza,Ward 12,6096,6680,12776
Chitungwiza,Ward 13,4696,5559,10255
Chitungwiza,Ward 14,6307,7407,13714
Chitungwiza,Ward 15,5129,5833,10962
Chitungwiza,Ward 16,6745,8072,14817
Chitungwiza,Ward 17,6826,8171,14997
Chitungwiza,Ward 18,11934,13410,25344
Chitungwiza,Ward 19,6968,8160,15128
Chitungwiza,Ward 20,4672,5290,9962
Chitungwiza,Ward 21,8509,10096,18605
Chitungwiza,Ward 22,8657,9847,18504
Chitungwiza,Ward 23,13966,15745,29711
Chitungwiza,Ward 24,9508,10783,20291
Chitungwiza,Ward 25,6544,7741,14285
Chitungwiza,Total,173495,197749,371244
Epworth,Ward 01,22475,22848,45323
Epworth,Ward 02,7990,8469,16459
Epworth,Ward 03,11633,12183,23816
Epworth,Ward 04,18456,19267,37723
Epworth,Ward 05,8492,9053,17545
Epworth,Ward 06,10448,10736,21184
Epworth,Ward 07,21790,22525,44315
Epworth,Total,101284,105081,206365
